ID  RSSI  Neighbors  Sources  Throughput
239 0 1 -1 0
855 0 2 -1 0
1016 -72.7895 1 0 0
239 -78.1353 1 1 0
855 -80.3046 2 2 0
1016 -80.109 1 4 0
239 -78.1353 1 1 3.90399
855 -80.3046 2 2 9.93744
1016 -80.109 1 4 8.07689
239 -78.1353 1 1 3.09808
855 -80.3046 2 2 6.86549
1016 -80.109 1 4 4.98453
855 -80.9071 1 3 10.0291
1016 -80.109 1 4 6.24164
855 -80.9071 1 3 7.11389
1016 -80.109 1 4 5.42462
855 -80.9071 1 3 14.4361
1016 -80.109 1 4 8.89234
855 -80.9071 1 3 12.2264
1016 -80.109 1 4 7.64462
855 -80.9071 1 3 15.3365
1016 -80.109 1 4 7.73048
855 -80.9071 1 3 13.4279
1016 -80.109 1 4 7.16439
855 -80.9071 1 3 13.598
1016 -80.109 1 4 7.58124
855 -80.9071 1 3 12.4907
1016 -80.109 1 4 6.67655
855 -80.9071 1 3 12.159
1016 -80.109 1 4 7.16464
855 -80.9071 1 3 11.4129
1016 -80.109 1 4 6.55171
855 -80.9071 1 3 13.626
1016 -80.109 1 4 7.62286
855 -80.9071 1 3 12.5843
1016 -80.109 1 4 7.33926
855 -80.9071 1 3 13.3779
1016 -80.109 1 4 6.80522
855 -80.9071 1 3 12.7238
1016 -80.109 1 4 6.51993
855 -80.9071 1 3 14.1554
1016 -80.109 1 4 7.68904
855 -80.9071 1 3 13.5507
1016 -80.109 1 4 7.27388
855 -80.9071 1 3 13.2878
1016 -80.109 1 4 8.04775
855 -80.9071 1 3 12.6779
1016 -80.109 1 4 7.70904
855 -80.9071 1 3 12.2579
1016 -80.109 1 4 7.8224
855 -80.9071 1 3 11.9285
1016 -80.109 1 4 7.46509
855 -80.9071 1 3 11.731
1016 -80.109 1 4 8.01092
855 -80.9071 1 3 11.3949
1016 -80.109 1 4 7.687
855 -80.9071 1 3 11.472
1016 -80.109 1 4 7.88532
855 -80.9071 1 3 11.0549
1016 -80.109 1 4 7.7235
855 -80.9071 1 3 11.2624
1016 -80.109 1 4 8.14836
855 -80.9071 1 3 10.8103
1016 -80.109 1 4 7.84422
855 -80.9071 1 3 10.8322
1016 -80.109 1 4 7.85299
855 -80.9071 1 3 10.4045
1016 -80.109 1 4 7.63144
855 -80.9071 1 3 11.9503
1016 -80.109 1 4 8.00208
855 -80.9071 1 3 11.7136
1016 -80.109 1 4 7.71918
855 -80.9071 1 3 11.6611
1016 -80.109 1 4 8.21118
855 -80.9071 1 3 11.4355
1016 -80.109 1 4 7.85185
855 -80.9071 1 3 11.4607
1016 -80.109 1 4 8.92309
855 -80.9071 1 3 11.0481
1016 -80.109 1 4 8.63313
855 -80.9071 1 3 10.8843
1016 -80.109 1 4 8.76766
855 -80.9071 1 3 10.4989
1016 -80.109 1 4 8.43139
855 -80.9071 1 3 11.3513
1016 -80.109 1 4 8.45953
855 -80.9071 1 3 11.1109
1016 -80.109 1 4 8.23787
855 -80.9071 1 3 11.3354
1016 -80.109 1 4 8.15501
855 -80.9071 1 3 11.1468
1016 -80.109 1 4 8.0466
855 -80.9071 1 3 10.9521
1016 -80.109 1 4 7.96629
855 -80.9071 1 3 10.7456
1016 -80.109 1 4 7.71215
855 -80.9071 1 3 10.6189
1016 -80.109 1 4 7.99639
855 -80.9071 1 3 10.3468
1016 -80.109 1 4 7.75689
855 -80.9071 1 3 10.7057
1016 -80.109 1 4 8.16032
855 -80.9071 1 3 10.4984
1016 -80.109 1 4 7.93879
855 -80.9071 1 3 11.4264
1016 -80.109 1 4 8.10258
855 -80.9071 1 3 11.1928
1016 -80.109 1 4 7.88721
855 -80.9071 1 3 11.5357
1016 -80.109 1 4 8.28043
855 -80.9071 1 3 11.2607
1016 -80.109 1 4 8.18252
855 -80.9071 1 3 11.3893
1016 -80.109 1 4 8.20517
855 -80.9071 1 3 11.1065
1016 -80.109 1 4 8.05436
855 -80.9071 1 3 11.1229
1016 -80.109 1 4 8.41178
855 -80.9071 1 3 10.8872
1016 -80.109 1 4 8.31393
855 -80.9071 1 3 10.8699
1016 -80.109 1 4 8.55635
855 -80.9071 1 3 10.7706
1016 -80.109 1 4 8.44375
855 -80.9071 1 3 10.5334
1016 -80.109 1 4 8.43137
855 -80.9071 1 3 10.3532
1016 -80.109 1 4 8.28717
855 -80.9071 1 3 10.7056
1016 -80.109 1 4 8.37536
855 -80.9071 1 3 10.567
1016 -80.109 1 4 8.3218
855 -80.9071 1 3 10.5265
1016 -80.109 1 4 8.32471
855 -80.9071 1 3 10.4041
1016 -80.109 1 4 8.18494
855 -80.9071 1 3 10.4448
1016 -80.109 1 4 8.56395
855 -80.9071 1 3 10.2889
1016 -80.109 1 4 8.43997
855 -80.9071 1 3 10.3581
1016 -80.109 1 4 8.5382
855 -80.9071 1 3 10.208
1016 -80.109 1 4 8.42822
855 -80.9071 1 3 10.8798
1016 -80.109 1 4 8.64972
855 -80.9071 1 3 10.7112
1016 -80.109 1 4 8.48717
855 -80.9071 1 3 10.9555
1016 -80.109 1 4 8.76308
855 -80.9071 1 3 10.8303
1016 -80.109 1 4 8.60887
855 -80.9071 1 3 10.8352
1016 -80.109 1 4 9.11633
855 -80.9071 1 3 10.728
1016 -80.109 1 4 9.03596
855 -80.9071 1 3 11.0235
1016 -80.109 1 4 9.09265
855 -80.9071 1 3 10.7865
1016 -80.109 1 4 9.00237
855 -80.9071 1 3 11.0118
1016 -80.109 1 4 9.0826
855 -80.9071 1 3 10.8854
1016 -80.109 1 4 8.97685
855 -80.9071 1 3 10.9721
1016 -80.109 1 4 8.9504
855 -80.9071 1 3 10.7894
1016 -80.109 1 4 8.86914
855 -80.9071 1 3 10.6598
1016 -80.109 1 4 9.05336
855 -80.9071 1 3 10.5185
1016 -80.109 1 4 8.90761
855 -80.9071 1 3 10.6685
1016 -80.109 1 4 9.02807
855 -80.9071 1 3 10.5663
1016 -80.109 1 4 8.90753
855 -80.9071 1 3 10.5252
1016 -80.109 1 4 9.24874
855 -80.9071 1 3 10.4502
1016 -80.109 1 4 9.13784
855 -80.9071 1 3 10.8693
1016 -80.109 1 4 9.7767
855 -80.9071 1 3 10.7931
1016 -80.109 1 4 9.6908
855 -80.9071 1 3 10.8181
1016 -80.109 1 4 10.569
855 -80.9071 1 3 10.6493
1016 -80.109 1 4 10.4531
855 -80.9071 1 3 11.5387
1016 -80.109 1 4 10.6311
855 -80.9071 1 3 11.395
1016 -80.109 1 4 10.5057
855 -80.9071 1 3 11.3852
1016 -80.109 1 4 10.7051
855 -80.9071 1 3 11.2554
1016 -80.109 1 4 10.534
855 -80.9071 1 3 11.4673
1016 -80.109 1 4 10.5952
855 -80.9071 1 3 11.3388
1016 -80.109 1 4 10.4736
855 -80.9071 1 3 11.4704
1016 -80.109 1 4 10.6344
855 -80.9071 1 3 11.3396
1016 -80.109 1 4 10.5266
855 -80.9071 1 3 11.7452
1016 -80.109 1 4 10.5937
855 -80.9071 1 3 11.6346
1016 -80.109 1 4 10.5264
855 -80.9071 1 3 11.6
1016 -80.109 1 4 10.596
855 -80.9071 1 3 11.4917
1016 -80.109 1 4 10.5096
855 -80.9071 1 3 11.3897
1016 -80.109 1 4 10.6004
855 -80.9071 1 3 11.3325
1016 -80.109 1 4 10.4884
855 -80.9071 1 3 11.3941
1016 -80.109 1 4 10.5932
855 -80.9071 1 3 11.2672
1016 -80.109 1 4 10.5288
855 -80.9071 1 3 11.4892
1016 -80.109 1 4 10.5351
855 -80.9071 1 3 11.3974
1016 -80.109 1 4 10.4168
855 -80.9071 1 3 11.4258
1016 -80.109 1 4 10.4713
855 -80.9071 1 3 11.3345
1016 -80.109 1 4 10.331
855 -80.9071 1 3 11.4397
1016 -80.109 1 4 11.0983
855 -80.9071 1 3 11.3293
1016 -80.109 1 4 11.0229
855 -80.9071 1 3 11.4077
1016 -80.109 1 4 11.1378
855 -80.9071 1 3 11.3347
1016 -80.109 1 4 11.0803
855 -80.9071 1 3 11.4055
1016 -80.109 1 4 11.1719
855 -80.9071 1 3 11.3097
1016 -80.109 1 4 11.0803
855 -80.9071 1 3 11.394
1016 -80.109 1 4 11.2112
855 -80.9071 1 3 11.2836
1016 -80.109 1 4 11.1301
855 -80.9071 1 3 11.2962
1016 -80.109 1 4 11.1477
855 -80.9071 1 3 11.2344
1016 -80.109 1 4 11.0396
855 -80.9071 1 3 11.2366
1016 -80.109 1 4 11.1907
855 -80.9071 1 3 11.132
1016 -80.109 1 4 11.1007
855 -80.9071 1 3 11.1157
1016 -80.109 1 4 11.1276
855 -80.9071 1 3 11.035
1016 -80.109 1 4 11.0647
855 -80.9071 1 3 11.025
1016 -80.109 1 4 11.0522
855 -80.9071 1 3 10.9282
1016 -80.109 1 4 10.9931
855 -80.9071 1 3 11.0533
1016 -80.109 1 4 11.2266
855 -80.9071 1 3 11.006
1016 -80.109 1 4 11.1252
855 -80.9071 1 3 10.9295
1016 -80.109 1 4 11.2962
855 -80.9071 1 3 10.828
1016 -80.109 1 4 11.2293
855 -80.9071 1 3 10.9322
1016 -80.109 1 4 11.2454
855 -80.9071 1 3 10.8821
1016 -80.109 1 4 11.1263
855 -80.9071 1 3 10.8757
1016 -80.109 1 4 11.1347
855 -80.9071 1 3 10.768
1016 -80.109 1 4 11.0214
855 -80.9071 1 3 10.8797
1016 -80.109 1 4 11.2634
855 -80.9071 1 3 10.8145
1016 -80.109 1 4 11.1845
855 -80.9071 1 3 10.9904
1016 -80.109 1 4 11.4582
855 -80.9071 1 3 10.9171
1016 -80.109 1 4 11.4351
855 -80.9071 1 3 11.1113
1016 -80.109 1 4 11.4562
855 -80.9071 1 3 11.0239
1016 -80.109 1 4 11.37
855 -80.9071 1 3 11.1235
1016 -80.109 1 4 11.383
855 -80.9071 1 3 11.0344
1016 -80.109 1 4 11.2844
